filename,num_coins,background,lighting_condition,touching_objects(y/n),notes
coin_001.jpg,8,tile,bright,y,
coin_002.jpg,8,tile,shadow,y,
coin_003.jpg,8,tile,dim,y,
coin_004.jpg,4,brown wood,bright,y,
coin_005.jpg,5,brown wood,bright,n,
coin_006.jpg,2,brown wood,bright,n,
coin_007.jpg,3,brown wood,dim,y,
coin_008.jpg,3,light wood,dim,n,
coin_009.jpg,3,light wood,dim,y,
coin_010.jpg,1,light wood,dim,n,
coin_011.jpg,6,light wood,shadow,y,
coin_012.jpg,6,light wood,blurry,y,
coin_013.jpg,6,light wood,dim,y,
coin_014.jpg,6,light wood,dim,y,
coin_015.jpg,3,light wood,blurry,y,
coin_016.jpg,6,light wood,shadow,n,
coin_017.jpg,6,light wood,bright,n,
coin_018.jpg,6,light wood,shadow,n,
coin_019.jpg,5,light wood,blurry,n,
coin_020.jpg,5,light wood,bright,n,
coin_021.jpg,6,light wood,blurry,y,
coin_022.jpg,6,light wood,dim,n,
coin_023.jpg,6,light wood,bright,n,
